Orbital Phase(normalized)	Fp/F*(Blackbody ppm)	Fp/F*(Low albedo & Specular ppm)	Fp/F*(Low albedo & Lambert ppm)	Fp/F*(High albedo & Specular ppm)	Fp/F*(High albedo & Lambert ppm)
0.84	0.00	13.58	10.96	18.50	10.21
0.85	0.00	12.51	9.55	17.58	8.97
0.86	0.00	11.56	8.25	16.70	7.83
0.86	0.00	10.76	7.07	15.90	6.78
0.87	0.00	10.10	6.00	15.15	5.82
0.88	0.00	9.58	5.05	14.47	4.96
0.89	0.00	9.20	4.20	13.84	4.18
0.90	0.00	8.96	3.45	13.26	3.49
0.91	0.00	8.85	2.80	12.75	2.88
0.92	0.00	8.86	2.24	12.25	2.34
0.92	0.00	8.99	1.77	11.90	1.88
0.93	0.00	8.16	0.35	10.60	0.50
0.94	0.00	8.70	0.29	10.61	0.40
0.95	0.00	9.20	0.24	10.58	0.31
0.96	0.00	9.64	0.20	10.54	0.24
0.97	0.00	10.01	0.16	10.49	0.19
0.97	0.00	10.28	0.13	10.41	0.15
0.98	0.00	10.48	0.12	10.37	0.12
0.99	0.00	10.60	0.10	10.34	0.11
1.00	0.00	10.60	0.10	10.34	0.11
